id	region_id	name	short_name	slug	group_id	province_id	group_slug	latitude	longitude
22009|	21713|	Recoleta|	Recoleta|	recoleta|	152|	21733|	capital|	NULL|	NULL|
22010|	21713|	Renca|	Renca|	renca|	152|	21733|	capital|	NULL|	NULL|
22011|	21713|	San Joaquín|	San Joaquín|	san-joaquin|	152|	21733|	capital|	NULL|	NULL|
22012|	21713|	San Miguel|	San Miguel|	san-miguel|	152|	21733|	capital|	NULL|	NULL|
22013|	21713|	San Ramón|	San Ramón|	san-ramon|	152|	21733|	capital|	NULL|	NULL|
22014|	21713|	Santiago|	Santiago|	santiago|	152|	21733|	capital|	-33.4488|	-70.6692|
22015|	21713|	Vitacura|	Vitacura|	vitacura|	152|	21733|	capital|	NULL|	NULL|
22016|	21713|	El Monte|	El Monte|	el-monte|	152|	21766|	capital|	NULL|	NULL|
22017|	21713|	Isla De Maipo|	Isla De Maipo|	isla-de-maipo|	152|	21766|	capital|	NULL|	NULL|
22018|	21713|	La Islita|	La Islita|	la-islita|	152|	21722|	capital|	NULL|	NULL|
22019|	21713|	Padre Hurtado|	Padre Hurtado|	padre-hurtado|	152|	21766|	capital|	NULL|	NULL|
22020|	21713|	Peñaflor|	Peñaflor|	penaflor|	152|	21766|	capital|	NULL|	NULL|
22021|	21713|	Talagante|	Talagante|	talangate|	152|	21766|	capital|	NULL|	NULL|
22022|	21772|	Alto Hospicio|	Alto Hospicio|	alto-hospicio|	152|	21773|	capital|	NULL|	NULL|
22023|	21772|	Iquique|	Iquique|	iquique|	152|	21773|	capital|	-20.217|	-70.1376|
22024|	21772|	Pozo Almonte|	Pozo Almonte|	pozo-almonte|	152|	21773|	capital|	NULL|	NULL|
22025|	21782|	Cabildo|	Cabildo|	cabildo|	152|	21795|	capital|	NULL|	NULL|
22026|	21782|	Hanga Roa|	Hanga Roa|	hanga-roa|	152|	21783|	capital|	NULL|	NULL|
22027|	21782|	Calle Larga|	Calle Larga|	calle-larga|	152|	21785|	capital|	NULL|	NULL|
22028|	21782|	Los Andes|	Los Andes|	los-andes|	152|	21785|	capital|	NULL|	NULL|
22029|	21782|	Rinconada|	Rinconada|	rinconada|	152|	21785|	capital|	NULL|	NULL|
22030|	21782|	San Esteban|	San Esteban|	san-esteban|	152|	21785|	capital|	NULL|	NULL|
22031|	21782|	La Ligua|	La Ligua|	la-ligua|	152|	21795|	capital|	NULL|	NULL|
22032|	21782|	La Calera|	La Calera|	la-calera|	152|	21801|	capital|	NULL|	NULL|
22033|	21782|	Hijuelas|	Hijuelas|	hijuelas|	152|	21801|	capital|	NULL|	NULL|
22034|	21782|	La Cruz|	La Cruz|	la-cruz|	152|	21801|	capital|	NULL|	NULL|
22035|	21782|	Limache|	Limache|	limache|	152|	21801|	capital|	NULL|	NULL|
22036|	21782|	Nogales|	Nogales|	nogales|	152|	21801|	capital|	NULL|	NULL|
22037|	21782|	El Melón|	El Melón|	el-melon|	152|	21801|	capital|	NULL|	NULL|
22038|	21782|	Olmué|	Olmué|	olmue|	152|	21801|	capital|	NULL|	NULL|
22039|	21782|	Quillota|	Quillota|	quillota|	152|	21801|	capital|	NULL|	NULL|
22040|	21782|	Algarrobo|	Algarrobo|	algarrobo|	152|	21807|	capital|	NULL|	NULL|
22041|	21782|	Cartagena|	Cartagena|	cartagena|	152|	21807|	capital|	NULL|	NULL|
22042|	21782|	El Quisco|	El Quisco|	el-quisco|	152|	21807|	capital|	NULL|	NULL|
22043|	21782|	El Tabo|	El Tabo|	el-tabo|	152|	21807|	capital|	NULL|	NULL|
22044|	21782|	San Antonio|	San Antonio|	san-antonio|	152|	21807|	capital|	NULL|	NULL|
22045|	21782|	Santo Domingo|	Santo Domingo|	santo-domingo|	152|	21807|	capital|	NULL|	NULL|
22046|	21782|	Catemu|	Catemu|	catemu|	152|	21814|	capital|	NULL|	NULL|
22047|	21782|	Llaillay|	Llaillay|	llaillay|	152|	21814|	capital|	NULL|	NULL|
22048|	21782|	Putaendo|	Putaendo|	putaendo|	152|	21814|	capital|	NULL|	NULL|
22049|	21782|	Villa Los Almendros|	Villa Los Almendros|	villa-los-almendros|	152|	21814|	capital|	NULL|	NULL|
22050|	21782|	Santa María|	Santa María|	santa-maria|	152|	21821|	capital|	NULL|	NULL|
22051|	21782|	Casablanca|	Casablanca|	casablanca|	152|	21821|	capital|	-33.319|	-71.4076|
22052|	21782|	Concón|	Concón|	concon|	152|	21821|	capital|	NULL|	NULL|
22053|	21782|	Las Ventanas|	Las Ventanas|	las-ventanas|	152|	21821|	capital|	NULL|	NULL|
22054|	21782|	Quilpué|	Quilpué|	quilpue|	152|	21821|	capital|	NULL|	NULL|
22055|	21782|	Quintero|	Quintero|	quintero|	152|	21821|	capital|	NULL|	NULL|
22056|	21782|	Placilla De Peñuelas|	Placilla De Peñuelas|	placilla-de-penuelas|	152|	21821|	capital|	NULL|	NULL|
22057|	21782|	Valparaíso|	Valparaíso|	valparaiso|	152|	21821|	capital|	-33.0472|	-71.6126|
22058|	21782|	Villa Alemana|	Villa Alemana|	villa-alemana|	152|	21821|	capital|	NULL|	NULL|
22059|	21782|	Viña Del Mar|	Viña Del Mar|	vina-del-mar|	152|	21821|	capital|	-33.0247|	-71.5523|
22064|	21443|	Poblado de Putre|	Poblado de Putre|	poblado-de-putre|	3|	21447|	distrito|	-18.1451|	-69.523|
22069|	21443|	Arica|	Arica|	arica-0b1d435e-695d-40d5-853b-d399b683b3f7|	NULL|	21444|	otros|	NULL|	NULL|
22077|	21443|	Poblado de Parinacota|	Poblado de Parinacota|	poblado-de-parinacota|	152|	21447|	capital|	-18.2|	-69.2667|
22225|	22224|	Chile chico|	Chile chico|	chile-chico|	NULL|	NULL|	otros|	NULL|	NULL|
22226|	22224|	Puerto Tranquilo|	Puerto Tranquilo|	puerto-tranquilo|	NULL|	NULL|	otros|	NULL|	NULL|
22227|	21430|	San Pedro de Atacama|	San Pedro de Atacama|	san-pedro-de-atacama|	152|	NULL|	capital|	NULL|	NULL|
22228|	22224|	Coyhaique|	Coyhaique|	coyhaique|	NULL|	NULL|	otros|	NULL|	NULL|
22229|	21782|	Isla de Pascua|	Isla de Pascua|	isla-de-pascua|	NULL|	NULL|	otros|	NULL|	NULL|
22230|	21697|	Torres de Paine|	Torres de Paine|	torres-de-paine|	NULL|	NULL|	otros|	NULL|	NULL|
22231|	22224|	Puerto Rio Tranquilo|	Puerto Rio Tranquilo|	puerto-rio-tranquilo|	NULL|	NULL|	otros|	NULL|	NULL|
22233|	NULL|	Puerto Lopezo|	Puerto Lopez|	puerto-lopez|	NULL|	NULL|	otros|	NULL|	NULL|
